"ITL3.Region","average_pre_2009","average_post_2009"
"Isle of Wight",-0.0062111801242236,0.00830056793359546
"Kensington & Chelsea and Hammersmith & Fulham",0.0119018100669477,0.0129916482261403
"Kent Thames Gateway",-0.000799360511590727,0.00376306620209059
"Kingston upon Hull, City of",0,0.0152804306303178
"Lambeth",0.0192307692307692,0.00281307595305073
"Lancaster and Wyre",0.00542103361040838,0.00199950012496876
"Leeds",0.0115286719568798,0.0004535764503107
"Leicester",0.0191846522781775,0.00478053020425902
"Leicestershire CC and Rutland",0.0117234468937876,-0.00488106271238801
"Lewisham and Southwark",0.0157158234660926,0.0166296486132468
"Lincolnshire",0.00473260766682442,-0.00105612552806276
"Lisburn and Castlereagh",0.0066626287098728,0.0149139579349904
"Liverpool",0.0198850396147274,-0.00918333879960643
"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",0.0223592906707787,0.00597426470588235
"Luton",0.00886524822695036,0.00440264158495097
"Manchester",0.00881197579360866,-0.00591580035609672
"Medway",0.000345184673800483,0.00663669449796617
"Merton, Kingston upon Thames and Sutton",0.00907983612003101,0.00988593155893536
"Mid and East Antrim",0.00411334552102377,0.00584615384615385
"Mid Kent",-0.00432020330368488,0.00740740740740741
"Mid Lancashire",0.00939029228937971,0.0029681597409606
"Mid Ulster",0.00730337078651685,0.00288912964969303
"Milton Keynes",0.00232641374373658,0.00171287870677658
"Monmouthshire and Newport",0.00900377577693872,0.00520231213872832
"Na h-Eileanan Siar",0.0261437908496732,0.0128440366972477
"Newry, Mourne and Down",0.0102498398462524,0.00858704137392662
"North and North East Lincolnshire",-0.00109529025191676,0.00755847119224187
"North and West Norfolk",0.0174005681818182,-0.000233045910044279
"North Hampshire",-0.00203031943692474,-0.00152439024390244
"North Lanarkshire",0.00703883495145631,0.00157554750275721
"North Northamptonshire",0.00957290132547865,0.00115018074268814
"North Nottinghamshire",0.00498624484181568,-0.00237925291458482
"North Yorkshire CC",0.000119875329657157,-0.00163347853142502
"Northumberland",0.000572737686139748,-0.00740019474196689
