"ITL3.Region","change_1998_1999","change_1999_2000","change_2000_2001","change_2001_2002","change_2002_2003","change_2003_2004","change_2004_2005","change_2005_2006","change_2006_2007","change_2007_2008","change_2008_2009","change_2009_2010","change_2010_2011","change_2011_2012","change_2012_2013","change_2013_2014","change_2014_2015","change_2015_2016","change_2016_2017","change_2017_2018","change_2018_2019"
"Birmingham",0.0107368138504899,0.00403856175091193,0.01891943368675,0.0120598751590813,0.0248822742863787,0.0210884727332638,0.0217661691542289,0.00766170620303521,0.0111790559908274,0.0130216575484921,0.00733091949398775,0.007811080835604,0.00167032967032967,-0.00283602612581643,0.00792947825720191,-0.00048030739673391,0.013684570646596,0.0101735044948393,0.00914121602689829,0.017529244333368,0.0113386978785662
"Blackburn with Darwen",0.00390407138873397,0.0102315562735595,0.0159659393294305,0.00993723849372385,0.0241975308641975,0.0274223034734918,0.0143916266899259,0.0123931623931624,0.011508425811755,-0.00512416239653134,0.00267175572519084,0.0152165431135388,0.00482733011511326,0.0241528478731074,0.0211714890613973,0.0094054417198522,0.0171188630490956,-0.0027280994240679,0.002322206095791,0.00428326670474015,0.00281214848143982
"Blackpool",0.0052321778940484,0.0139771283354511,0.0266749379652605,0.0113027959547888,0.0313549832026876,0.0377260981912145,0.0207930367504836,0.0191499299392807,0.0126353790613718,-0.00263852242744063,0.00481822163819536,0.0255474452554745,-0.00730240549828179,0.00633981403212172,0.0117498950902224,-0.0056772100567721,0.0165549862041782,0.0273921200750469,0.0431372549019608,0.0249507550886408,0.0176565008025682
"Bournemouth, Christchurch and Poole",0.00358690778657899,0.00410009896790612,0.00754513608191862,0.00851177018220508,0.00599336903851058,0.00768386388583974,0.018786965093355,0.00970017636684303,0.00596421471172962,0.00720757825370675,0.00534971270061423,-0.0010126582278481,0.0045612295488349,0.000579374275782155,0.00343577018514984,0.00967136150234742,-0.00149371759950795,0.004149377593361,0.00622267070299361,0.00228202706956248,0.00807619047619048
"Bradford",0.0127928227280279,0.00283509214049457,0.0212898212898213,0.0114768951978254,0.0205588533371941,0.0214539491664389,0.0153585838865027,0.00631891958865072,0.00356803044719315,0.00809393524851801,0.0149783645844891,0.00604500167916713,0.00562789671154271,0.00410785759427006,0.00631143300569064,0.00565656565656566,0.0104344336309822,-0.00240199846272098,-0.00347222222222222,0.00693756194251734,0.0105337700274409
"Breckland and South Norfolk",0.0186619718309859,0.0116086235489221,0.0123992560446373,0.00503405389398875,0.0162556053811659,0.0170303352847259,0.0190770817220933,0.0174963035978314,0.00867976244860667,-0.000893854748603352,0.00480139676996945,0.00943810359964881,0.00742311770943796,0.0128231223285162,-0.000396118043176867,0.00938158146659008,0.00747084548104956,0.0135256988277728,0.00450919181408255,0.0117174422497489,0.0194837635303913
"Brent",0.00974745237040319,0.00984615384615385,0.0109097993376193,0.00982615268329554,0.0112583984020338,0.0135348918966426,0.011174144748152,0.0146699266503667,-0.00197869101978691,0.00553129548762737,0.00721917412647993,0.0039068369646882,0.00504831963075148,0.0115857063093244,0.00118717847249703,0.00100363818843307,0.00104311543810848,0.00823353293413174,0.0111967128916281,0.00347222222222222,0.000306591722023505
"Bridgend and Neath Port Talbot",0.00925122867880891,0.00623406064040805,0.0179396575156292,0.0211654755360088,0.0168999207816213,0.0201055541593365,0.0111407120368128,0.00625289485873089,0.00904003443822643,0.00879765395894428,0.00760847213654123,0.00664808063478447,0.00540540540540541,0.00446168768186227,0.00745840504876649,0.00381194409148666,-0.000347463516330785,0.0102441522963975,0.00948261520545666,0.00928891736066624,0.0140758873929009
"Brighton and Hove",0.00523127753303965,0.015922735578178,0.0186660029865605,0.0118604651162791,0.00936246098974588,0.0110356536502547,0.01468788249694,0.0192088246481552,0.00863930885529158,0.0177656303382303,0.0104935235284473,0.00578703703703704,0.00533894191878337,0.00764311339884573,0.00563502384048548,0.00935954004546062,0.0249841471147749,0.0055610479485912,0.00173973556019485,-0.00644431882419446,0.0139957264957265
"Bristol, City of",0.0106459502229895,0.0154696132596685,0.0141194927441496,0.0235579842137219,0.0169452181987001,0.0159045725646123,0.00218841183826594,0.0140916463909165,0.00777127506476063,0.0188476998660116,0.0086244070720138,0.0034453781512605,0.00322294738538393,0.00398692289291125,0.00959662947647656,0.0132265134910438,0.000715922107674685,0.00967585873246251,0.00298565587070812,0.00595055518066376,0.00889843510279227
